,index,col_program_id,name,org_id,description,community_name,min_age,max_age,capacity,program_price,program_has_scholarships,program_provides_free_food,program_pays_participants,program_provides_transportation,category_name,GEOG,2010_POP,TOT_POP,UND5,A5_19,POP_16OV,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,NOT_ENGLISH,LING_ISO,ENGLISH,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT
0,44,94180,BUILD Summer Camp 2021,11,"<p>-Six weeks of hands-on in-person, engaging activities with a focus on STEM, Arts, Lifeskills and more! </p>",AUSTIN,6,14,60.0,Free,0,t,Not Paid,0,Music & Art.,AUSTIN,98514.0,93727.00001,6537.0,18270.0,73231.0,12869.0,8222.0,4375.0,2503.0,3177.0,1514.0,33515.0,25463.0,4365.0,7197.0,22856.0,21083.0,9804.0,12671.0,4139.0,74519.0,0.0,0.0,1.0,0.0,0.013927028000000001,0.986072972
1,15,94180,BUILD Summer Camp 2021,11,"<p>-Six weeks of hands-on in-person, engaging activities with a focus on STEM, Arts, Lifeskills and more! </p>",AUSTIN,6,14,60.0,Free,0,t,Not Paid,0,Sports + Wellness.,AUSTIN,98514.0,93727.00001,6537.0,18270.0,73231.0,12869.0,8222.0,4375.0,2503.0,3177.0,1514.0,33515.0,25463.0,4365.0,7197.0,22856.0,21083.0,9804.0,12671.0,4139.0,74519.0,0.0,0.0,1.0,0.0,0.013927028000000001,0.986072972
2,0,94214,Inspirational Paper Mini Pennants Crafts Project,1239,"<p>Make your very own flag of encouragement to cheer you on and remind you to keep on keeping on! Perfect for decorating your desk, sticking into a potted plant, or tacking to your wall. Create a pennant flag using patterned paper, positive phrases, ribbon, and more. Facilitated by artist Margaux Mays.</p>",AUSTIN,7,65,20.0,Free,0,f,Not Paid,0,Music & Art.,AUSTIN,98514.0,93727.00001,6537.0,18270.0,73231.0,12869.0,8222.0,4375.0,2503.0,3177.0,1514.0,33515.0,25463.0,4365.0,7197.0,22856.0,21083.0,9804.0,12671.0,4139.0,74519.0,0.0,0.0,1.0,0.0,0.013927028000000001,0.986072972
3,55,94214,Inspirational Paper Mini Pennants Crafts Project,1239,"<p>Make your very own flag of encouragement to cheer you on and remind you to keep on keeping on! Perfect for decorating your desk, sticking into a potted plant, or tacking to your wall. Create a pennant flag using patterned paper, positive phrases, ribbon, and more. Facilitated by artist Margaux Mays.</p>",AUSTIN,7,65,20.0,Free,0,f,Not Paid,0,Healthcare,AUSTIN,98514.0,93727.00001,6537.0,18270.0,73231.0,12869.0,8222.0,4375.0,2503.0,3177.0,1514.0,33515.0,25463.0,4365.0,7197.0,22856.0,21083.0,9804.0,12671.0,4139.0,74519.0,0.0,0.0,1.0,0.0,0.013927028000000001,0.986072972
4,52,94215,URLife - Story Neighborhood Game,1239,<p>Join Lily Be in an interactive storytelling game where participants create a neighborhood based on the cards they pull from a story deck. The object is to create a community of stories based on where they live in your life. </p>,AUSTIN,7,65,12.0,Free,0,f,Not Paid,0,Music & Art.,AUSTIN,98514.0,93727.00001,6537.0,18270.0,73231.0,12869.0,8222.0,4375.0,2503.0,3177.0,1514.0,33515.0,25463.0,4365.0,7197.0,22856.0,21083.0,9804.0,12671.0,4139.0,74519.0,0.0,0.0,1.0,0.0,0.013927028000000001,0.986072972
5,1,94215,URLife - Story Neighborhood Game,1239,<p>Join Lily Be in an interactive storytelling game where participants create a neighborhood based on the cards they pull from a story deck. The object is to create a community of stories based on where they live in your life. </p>,AUSTIN,7,65,12.0,Free,0,f,Not Paid,0,Performance.,AUSTIN,98514.0,93727.00001,6537.0,18270.0,73231.0,12869.0,8222.0,4375.0,2503.0,3177.0,1514.0,33515.0,25463.0,4365.0,7197.0,22856.0,21083.0,9804.0,12671.0,4139.0,74519.0,0.0,0.0,1.0,0.0,0.013927028000000001,0.986072972
6,608,94227,Healing in Nature: A Storytelling Trail,912,"<p>Experiences in nature can foster different ways of knowing, learning and connecting with the world. Join North Park Village Nature Center and community partner for a family-friendly day of HEALING IN NATURE.</p><p>Enjoy a self-guided hike at Walking Stick Woods and follow along with Adam Kessel’s newest children's book, <i>Tales of the Plant Guardians</i>, with pages posted along the trailside. Tales of the Plant Guardians takes you on a rhythmic journey through riddles and rhymes to the secret world of the plants near your backyard and local park. Readers learn both the good and the not-so-good secret powers of common weeds in this outdoor adventure book. During your hike, visit the Nature Play Nodes in Walking Stick Woods and have your own playful adventure.</p><p>#RLDCHI</p><p>#ChiNatureCenter</p><p>@HealingInNature</p>",NORTH PARK,2,65,50.0,Free,0,f,Not Paid,0,Nature.,NORTH PARK,17931.0,18913.99999,1434.0,3310.0,15131.0,1571.0,1391.0,986.0,587.0,969.0,1055.0,56287.0,5825.0,410.0,734.0,5645.0,5291.0,914.0,9879.0,4158.0,7601.0,0.0,0.0,1.0,0.0006600569999999999,0.137924966,0.861414977
7,461,94230,Basket-ball skills training,1402,<p>Skills training for basket-ball with youth and police officer</p>,NEAR WEST SIDE,12,17,50.0,Free,0,f,Not Paid,0,Sports + Wellness.,NEAR WEST SIDE,54881.0,63170.0,3685.0,8377.0,54610.0,6396.0,2897.0,3117.0,2941.0,4636.0,8627.0,91125.0,26473.0,1257.0,2141.0,25552.0,24139.0,3062.0,13541.0,3265.0,45944.0,0.0,0.0,1.0,0.0,0.071811263,0.928188737
8,62,94250,West African Djembe Drumming,18,"<p>The West African Djembe Drumming apprenticeship program explores the rich tradition of the West African Djembe drum, its music, geographic/ethnic origins and cultural significance. Apprentices learn about the djembe drum and the cultures it comes from. Teens develop skills in basic hand techniques for djembe drumming, stick techniques for dunun drumming, and learn the traditional rhythms. Teens work together to plan and perform in a final showcase performance.</p><p><a href=""https://www.youtube.com/watch?v=mzwKBnN3rvE"" target=""_blank"" rel=""noopener noreferrer"" data-auth=""NotApplicable"" data-linkindex=""0"">https://www.youtube.com/watch?v=mzwKBnN3rvE</a><br></p>",AUSTIN,14,19,15.0,Free,0,f,"Paid, Type Unknown",0,Music & Art.,AUSTIN,98514.0,93727.00001,6537.0,18270.0,73231.0,12869.0,8222.0,4375.0,2503.0,3177.0,1514.0,33515.0,25463.0,4365.0,7197.0,22856.0,21083.0,9804.0,12671.0,4139.0,74519.0,0.0,0.0,1.0,0.0,0.013927028000000001,0.986072972
9,21,94252,Trailblazers 2021,686,"<p>Adventure Stage Chicago’s Trailblazers is a unique summer arts program that engages 30 Chicago youth (ages 10-18) in an intensive 8-week creative journey.  Under the thoughtful guidance of professional theater artists and digital storytellers, youth write, perform and produce original plays, poems, music, videos, and graphic art in a highly collaborative and mutually supportive environment.  Camp dates are June 28-August 20, begins at 9am and concludes at 3pm, Monday thru Friday.  Enrollment is FREE.</p>",WEST TOWN,10,18,30.0,Free,0,t,Not Paid,0,Performance.,WEST TOWN,82236.0,84698.0,5315.0,6960.0,73884.0,4763.0,3962.0,5144.0,4507.0,7791.0,12137.0,104639.0,35763.0,1122.0,2541.0,35117.0,34025.0,3187.0,19252.0,7285.0,60026.0,0.0,0.0,1.0,0.0,5.739999999999999e-05,0.99994255
10,605,94256,MAPSCorps @ Albany Park Community Center,101,"<p>Are you ready to build skills for your future career, collect data to help your local neighborhood, and get paid in the process? Welcome to MAPSCorps!</p><p>Our Mappers build skills to prepare them not only for college, but their careers! By mapping your community, working with your team, and preparing for our symposium, you'll learn valuable skills in data science, research, and advocacy. You will work with your team to share community resources and help our neighborhoods. At the end of the summer, you'll present your findings at our annual Scientific Symposium.</p><p>In this in-person program, you will meet up with your team each morning to set your goals and assignments. Then, you'll visit your assigned locations and use your provided smartphone to collect data. We'll provide you with a bus pass so you can travel around Chicago and map your locations. Mappers will collect data Mondays through Thursdays, with our in-person teams working 9:00 am to 12:00 pm. Mappers earn the ASM stipend, plus MAPSCorps pays an extra stipend for your work.</p><p>To apply:</p><p>1. Fill out and submit our <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfORY25y-tzJkpVLjllOaRc3aiClOldqT6ksb_qELSWQQP9aQ/viewform?bbeml=tp-irpZIR9MCU25EheQbqLfDQ.jz2xGZpB56UGCE_NeaYe9yA.rSKpskMFI9kODjUqRpVbJPw.lWG-4GA4rrkOI--uOK7qleQ"" target=""_blank"">Google Form</a> </p><p>2. Go to <a href=""http://www.afterschoolmatters.org"">www.afterschoolmatters.org</a> and click on ""APPLY.""</p><p>Click ""START A NEW SUMMER APPLICATION.""</p><p>Complete the application and choose the MAPSCorps @ Albany Park Community Center program.</p><p>3. Have your guardian fill out our <a href=""https://drive.google.com/file/d/1euDZ4FwO-ZfcWO9QcWDznXZnJPurNly0/view?bbeml=tp-irpZIR9MCU25EheQbqLfDQ.jz2xGZpB56UGCE_NeaYe9yA.rSKpskMFI9kODjUqRpVbJPw.l7LvxmpneBEqW m5r6FPw00w"" target=""_blank"">consent form</a> and email it to HR@mapscorps.org</p><p><br></p><p>We look forward to meeting you soon!</p>",NORTH PARK,16,19,10.0,Free,0,f,"Paid, Type Unknown",1,Work + Career ,NORTH PARK,17931.0,18913.99999,1434.0,3310.0,15131.0,1571.0,1391.0,986.0,587.0,969.0,1055.0,56287.0,5825.0,410.0,734.0,5645.0,5291.0,914.0,9879.0,4158.0,7601.0,0.0,0.0,1.0,0.0006600569999999999,0.137924966,0.861414977
